Nome; Slug; Apelido; Foto; ID; Rodada; Clube ID; Posicao ID; Status ID; Pontos; Preco; Variacao; Media; Jogos
68918; Bruno Paulo Machado Barbosa;bruno-paulo;Bruno Paulo;https://s.glbimg.com/es/sde/f/2017/04/19/35fde99efcca9657a34dc1eee16d7ee3_FORMATO.png;1;264;5;6;0.0;1.0;0.0;0.0;0
91687; João Pedro Heinen Silva;joao-pedro;João Pedro;https://s.glbimg.com/es/sde/f/2018/03/07/49b3de820bb1df66e8d548184e778c61_FORMATO.png;1;293;4;6;0.0;3.0;0.0;0.0;0
40006;Abel Carlos da Silva Braga;abel-braga;Abel Braga;https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png;1;266;6;7;3.61;10.06;-0.94;3.61;1
101314;Ademir da Silva Santos Junior;ademir;Ademir;https://s.glbimg.com/es/sde/f/2018/04/10/785797e137683aa3f4810b86b8ffc886_FORMATO.png;1;327;5;6;0.0;2.0;0.0;0.0;0
69012;Aderbar Melo dos Santos Neto;santos;Santos;https://s.glbimg.com/es/sde/f/2017/04/23/27e1cdc40e6cfe45b59a89f20a9a2b4f_FORMATO.png;1;293;1;7;-2.3;3.24;-3.76;-2.3;1
88423;Aderlan de Lima Silva;aderlan;Aderlan;https://s.glbimg.com/es/sde/f/2018/03/17/138010c4f380e27d9122f984627b1769_FORMATO.png;1;327;2;6;0.0;2.0;0.0;0.0;0
93296;Aderllan Leandro de Jesus Santos;aderllan;Aderllan;https://s.glbimg.com/es/sde/f/2017/07/20/7efccafc0e0c165bd5e9036a50890fbc_FORMATO.png;1;276;3;6;0.0;2.0;0.0;0.0;0
50307;Adilson Warken;adilson;Adilson;https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png;1;282;4;7;0.0;6.0;0.0;0.0;0
82381;Adilson dos Anjos Oliveira;juninho;Juninho;https://s.glbimg.com/es/sde/f/2018/03/17/5ac7a1ff64724f5d36e60c546485f596_FORMATO.png;1;327;4;2;2.6;4.55;0.55;2.6;1
91664;Adryelson Shawann Lima Silva;adryelson;Adryelson;https://s.glbimg.com/es/sde/f/2016/05/01/486323894355978b9458b0d2217d92bf_FORMATO.png;1;292;3;6;0.0;3.0;0.0;0.0;0
71724;Agenor Detofol;agenor;Agenor;https://s.glbimg.com/es/sde/f/2017/08/30/4df3a999db97ae40b152429edc607db4_FORMATO.png;1;292;1;6;-6.0;0.69;-2.31;-6.0;1
84585;Agustín Lionel Allione;allione;Allione;https://s.glbimg.com/es/sde/f/2018/03/21/3c614f3fa77de55748fa8ddfdef2eecc_FORMATO.png;1;265;4;6;0.2;6.34;-2.66;0.2;1
61985;Airton Ribeiro Santos;airton;Airton;https://s.glbimg.com/es/sde/f/2018/01/21/140f763b85870cfc801ceae1684e7032_FORMATO.png;1;266;4;6;0.0;4.0;0.0;0.0;0
93785;Alan Cardoso de Andrade;alan-cardoso;Alan Cardoso;https://s.glbimg.com/es/sde/f/2018/04/09/c02a60d91483f3c78c44dfe79e1c6347_FORMATO.png;1;267;2;6;0.0;3.0;0.0;0.0;0
63110;Alan Luciano Ruschel;alan-ruschel;Alan Ruschel;https://s.glbimg.com/es/sde/f/2017/04/24/5445b9aabe74f7acf2c52104cb6270ff_FORMATO.png;1;315;4;6;0.0;5.0;0.0;0.0;0
101709;Alan Rodrigues Uchoa;alan;Alan;https://s.glbimg.com/es/sde/f/2018/03/01/7e6dfe0c821e846e1c1b00baf1307e05_FORMATO.png;1;354;3;6;0.0;3.0;0.0;0.0;0
100845;Alan de Souza Guimarães;alanzinho;Alanzinho;https://s.glbimg.com/es/sde/f/2017/12/02/2f1ae5575738c09ceb9e0a585385faa1_FORMATO.png;1;275;4;6;0.0;3.0;0.0;0.0;0
84863;Alberto Valentim do Carmo Neto;alberto-valentim;Alberto Valentim;https://s.glbimg.com/es/sde/f/2018/03/20/c6b54edc93e180bf641056650be46611_FORMATO.png;1;263;6;7;4.18;7.7;0.7;4.18;1
74213;Alejandro Abraham Guerra Morales;guerra;Guerra;https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png;1;275;4;6;7.6;10.06;3.06;7.6;1
80363;Alejandro Ariel Cabral;ariel-cabral;Ariel Cabral;https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_FORMATO.png;1;283;4;2;1.9;6.13;-0.87;1.9;1
101715;Alerrandro Barra Mansa Realino de Souza;alerrandro;Alerrandro;https://s.glbimg.com/es/sde/f/2018/03/20/55a44aa2b58a8a8eca5b32f354474164_FORMATO.png;1;282;5;6;0.0;1.0;0.0;0.0;0
41218;Alessandro Beti Rosa;magrao;Magrão;https://s.glbimg.com/es/sde/f/2017/08/30/c7dca7402951841de5cd3c5a531e0cee_FORMATO.png;1;292;1;5;0.0;10.0;0.0;0.0;0
78475;Alex Broch Amado;alex-amado;Alex Amado;https://s.glbimg.com/es/sde/f/2018/03/15/3183bb134adafec0e0a85687bccf64f7_FORMATO.png;1;354;5;6;0.0;4.0;0.0;0.0;0
85465;Alex Paulo Menezes Santana;alex-santana;Alex Santana;https://s.glbimg.com/es/sde/f/2018/03/21/0b541e5882ecfea594b9f526c908601d_FORMATO.png;1;289;4;6;0.0;3.0;0.0;0.0;0
90535;Alex Sandro dos Santos Apolinario;alex;Alex;https://s.glbimg.com/es/sde/f/2018/03/07/8f55ff4c573775308cf191836e107b8d_FORMATO.png;1;293;4;6;0.0;1.0;0.0;0.0;0
71389;Alexander Baumjohann;alex-baumjohann;Alex Baumjohann;https://s.glbimg.com/es/sde/f/2018/03/21/86d47b57857d02ac9b638604fe0da5bd_FORMATO.png;1;287;4;6;0.3;2.96;-1.04;0.3;1
38928;Alexandro Silva de Souza;dudu-cearense;Dudu Cearense;https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg;1;263;4;6;0.0;4.0;0.0;0.0;0
99411;Alexsander Jhonatta de Oliveira Andrade;alexsander;Alexsander;https://s.glbimg.com/es/sde/f/2017/04/16/574d33cbfe0200e34a998815c6b4ee99_FORMATO.png;1;293;4;6;0.0;1.0;0.0;0.0;0
73974;Alison Lopes Ferreira;alison;Alison;https://s.glbimg.com/es/sde/f/2016/05/01/5cbe20aa51d06aff64b21ed5d19bf070_FORMATO.png;1;277;4;7;3.3;7.78;-0.22;3.3;1
81845;Alisson Euler de Freitas Castro;alisson;Alisson;https://s.glbimg.com/es/sde/f/2018/04/17/9ea46df360d901ff5fe748aa898991e9_FORMATO.png;1;284;4;6;0.0;8.0;0.0;0.0;0
38913;Anderson Luiz de Carvalho;nene;Nenê;https://s.glbimg.com/es/sde/f/2018/03/11/aa91f2ba09caaa98df783cd528f1955a_FORMATO.png;1;276;4;7;0.4;7.85;-3.15;0.4;1
38001;Anderson Pedro Nunes da Silva Campos;anderson;Anderson;https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png;1;265;1;6;0.0;3.0;0.0;0.0;0
52618;Anderson Vieira Martins;anderson-martins;Anderson Martins;https://s.glbimg.com/es/sde/f/2018/03/11/52e391e51311c7369cb27a17c9399207_FORMATO.png;1;276;3;6;0.0;9.0;0.0;0.0;0
60819;Anderson Vital da Silva;dede;Dedé;https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png;1;283;3;7;2.7;5.99;-0.01;2.7;1
84509;Andrevaldo de Jesus Santos;valdo;Valdo;https://s.glbimg.com/es/sde/f/2018/03/15/6a8b1b281c0ff28c999b40261889b31b_FORMATO.png;1;354;3;7;3.0;5.51;0.51;3.0;1
86227;Andrew Erik Feitosa;morato;Morato;https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png;1;276;5;6;0.0;2.0;0.0;0.0;0
93787;Andrey Ramos do Nascimento;andrey;Andrey;https://s.glbimg.com/es/sde/f/2018/04/09/9e684dbb91ebc1768eec75fafdeedb21_FORMATO.png;1;267;4;6;0.0;4.0;0.0;0.0;0
68690;André Felipe Ribeiro de Souza;andre;André;https://s.glbimg.com/es/sde/f/2018/03/26/6b3009f67bc00fc3c783c397b4cbbdc9_FORMATO.png;1;284;5;7;6.1;12.47;0.47;6.1;1
68893;André Luiz Barretto Silva Lima;andre-lima;André Lima;https://s.glbimg.com/es/sde/f/2018/03/21/d5bd90b5cbee9c67c4fe5a21cfdfe5f3_FORMATO.png;1;287;5;5;0.0;6.0;0.0;0.0;0
81684;Andrés Lorenzo Ríos;andres-rios;Andrés Ríos;https://s.glbimg.com/es/sde/f/2018/04/09/a213504115cbd52377112523e461faa7_FORMATO.png;1;267;5;6;-2.5;3.1;-3.9;-2.5;1
62023;Andrés Nicolas D'Alessandro;d-alessandro;D'Alessandro;https://s.glbimg.com/es/sde/f/2018/03/21/3a5a3365b94f222144190fe55a5d56f7_FORMATO.png;1;285;4;6;2.2;10.47;-2.53;2.2;1
89930;Andrigo Oliveira de Araujo;andrigo;Andrigo;https://s.glbimg.com/es/sde/f/2018/04/09/eb909473a1499ceb91cd8c466f192cfd_FORMATO.png;1;292;4;7;1.6;6.61;-1.39;1.6;1
100847;Aníbal Gabriel Vega da Silva;anibal;Aníbal;https://s.glbimg.com/es/sde/f/2017/12/02/fefa8b7d5270b00509e86279efdf2c9f_FORMATO.png;1;275;5;6;0.0;1.0;0.0;0.0;0
68910;Anselmo de Moraes;anselmo;Anselmo;https://s.glbimg.com/es/sde/f/2017/06/06/b2cdf84621178662c029bae611378399_FORMATO.png;1;292;4;7;6.7;10.13;2.13;6.7;1
51792;Antonio Eduardo Pereira dos Santos;kanu;Kanu;https://s.glbimg.com/es/sde/f/2018/03/21/a2e4671774fb12a3492ed292aad6f617_FORMATO.png;1;287;3;7;-1.5;4.48;-3.52;-1.5;1
79702;Antônio Carlos Cunha Capocasali Júnior;antonio-carlos;Antônio Carlos ;https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png;1;275;3;7;1.7;7.37;-1.63;1.7;1
87742;Antônio Francisco Moura Neto;neto-moura;Neto Moura;https://s.glbimg.com/es/sde/f/2016/05/01/60b2f9caebf7a6d399c1ba73dff47b84_FORMATO.png;1;292;4;6;0.0;4.0;0.0;0.0;0
78497;Arnaldo Manoel de Almeida;arnaldo;Arnaldo;https://s.glbimg.com/es/sde/f/2018/04/12/b854b95f8d49d62715ce163bf535b942_FORMATO.png;1;354;2;7;0.0;4.13;-1.87;0.0;1
80337;Arthur Caíke do Nascimento Cruz;arthur;Arthur ;https://s.glbimg.com/es/sde/f/2017/04/24/56939ae4c18f332e1a3bb20305de4f33_FORMATO.png;1;315;5;7;1.8;6.75;-1.25;1.8;1
96966;Arthur Gomes Lourenço;arthur-gomes;Arthur Gomes;https://s.glbimg.com/es/sde/f/2017/05/02/0dce55b5ca74aab8f37b77c936bdc107_FORMATO.png;1;277;5;6;0.0;3.44;-1.56;0.0;1
90532;Arthur Henrique Ramos de Oliveira Melo;arthur;Arthur;https://s.glbimg.com/es/sde/f/2017/04/23/ad145ff7dd594174acc3863cb2569b83_FORMATO.png;1;284;4;2;11.7;16.33;4.33;11.7;1
99670;Arthur Henrique Vieira Araujo;arthur;Arthur;https://s.glbimg.com/es/sde/f/2017/06/07/41375a4dab9feeadba77a4537ccb2623_FORMATO.png;1;283;3;6;0.0;3.0;0.0;0.0;0
92171;Arthur Mendonça Cabral;arthur;Arthur;https://s.glbimg.com/es/sde/f/2018/03/01/978818110a64bf6ca065f7815566b18f_FORMATO.png;1;354;5;7;3.6;5.92;0.92;3.6;1
95799;Artur Victor Guimarães;artur;Artur;https://s.glbimg.com/es/sde/f/2018/03/01/b80e29d5a991a85ea43bf6650fe5f1cd_FORMATO.png;1;275;5;6;0.0;3.0;0.0;0.0;0
37245;Augusto Sérgio Ferreira;guto-ferreira;Guto Ferreira;https://s.glbimg.com/es/sde/f/2018/03/02/04627b6d62a4bbd729133e9eabd5b593_FORMATO.png;1;265;6;7;2.48;6.53;-0.47;2.48;1
85930;Aylon Darwin Tavella;aylon;Aylon;https://s.glbimg.com/es/sde/f/2018/03/17/126e634285cb02ea065c51098e6404cc_FORMATO.png;1;327;5;7;5.1;7.65;1.65;5.1;1
88393;Ayrton Lucas Dantas de Medeiros;ayrton-lucas;Ayrton Lucas;https://s.glbimg.com/es/sde/f/2018/01/24/d014e65ab8d78668e270fb0df555b349_FORMATO.png;1;266;2;7;4.3;7.78;0.78;4.3;1
88323;Ángel Rodrigo Romero Villamayor;angel-romero;Ángel Romero;https://s.glbimg.com/es/sde/f/2018/03/20/292916e18c1ce65fc08c89adaf9bc787_FORMATO.png;1;264;5;7;5.8;10.2;1.2;5.8;1
89227;Ânderson Balbino Assis;balbino;Balbino;https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png;1;284;4;6;0.0;2.0;0.0;0.0;0
68696;Bergson Gustavo Silveira da Silva;bergson;Bergson;https://s.glbimg.com/es/sde/f/2018/03/01/8027daac99864e85d92bbd292cec641c_FORMATO.png;1;293;5;6;0.0;6.0;0.0;0.0;0
101857;Brenner Alves Sabino;brenner;Brenner;https://s.glbimg.com/es/sde/f/2018/04/09/0c50419c1321d69b3d9b21dfd118cfb9_FORMATO.png;1;285;5;6;-0.3;0.69;-0.31;-0.3;1
80080;Brenner Marlos Varanda de Oliveira;brenner;Brenner;https://s.glbimg.com/es/sde/f/2017/07/21/eba301f5c887ff5cf7a3f94b5f6eb918_FORMATO.png;1;263;5;7;1.0;4.13;-0.87;1.0;1
99789;Brenner Souza da Silva;brenner;Brenner;https://s.glbimg.com/es/sde/f/2018/03/11/773b4a6a965c0fdb7e72df3b40611801_FORMATO.png;1;276;5;6;-1.0;2.76;-2.24;-1.0;1
100830;Brenno Oliveira Fraga Costa;brenno;Brenno;https://s.glbimg.com/es/sde/f/2017/12/01/eb6549ddfa3b798b4e31af8c9473334b_FORMATO.jpeg;1;284;1;6;0.0;1.0;0.0;0.0;0
50408;Breno Vinicius Rodrigues Borges;breno;Breno;https://s.glbimg.com/es/sde/f/2018/04/09/f2c6c8bfe27315c6e7bd65079343b249_FORMATO.png;1;267;3;6;0.0;6.0;0.0;0.0;0
73487;Bruno Batista Pereira Pires;bruno-pires;Bruno Pires;https://s.glbimg.com/es/sde/f/2018/03/01/ad185940b1e538f5738d06d1a599e4da_FORMATO.png;1;354;3;6;0.0;4.0;0.0;0.0;0
91359;Bruno Bispo dos Anjos;bruno-bispo;Bruno Bispo;https://s.glbimg.com/es/sde/f/2018/03/21/99884c41754fc82c033d202d4decfad3_FORMATO.png;1;287;3;6;0.0;5.0;0.0;0.0;0
98420;Bruno Bortolini Jackel;bruno;Bruno;https://s.glbimg.com/es/sde/f/2018/03/02/c5a6adf7d1fb6b476a3ea948bdf498fb_FORMATO.png;1;315;2;6;0.0;1.0;0.0;0.0;0
68698;Bruno César Pereira da Silva;bruno-silva;Bruno Silva;https://s.glbimg.com/es/sde/f/2018/04/13/b4fbb440ff9134aa73e2b4edf6fd5bc5_FORMATO.png;1;283;4;6;0.0;8.0;0.0;0.0;0
72079;Bruno Cortês Barbosa;bruno-cortez;Bruno Cortez;https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_FORMATO.png;1;284;2;7;10.0;13.09;4.09;10.0;1
99615;Bruno Cosendey Lobo Pinto;bruno-cosendey;Bruno Cosendey;https://s.glbimg.com/es/sde/f/2018/04/09/5a3395e38948c1618677cceb1cd1b9cb_FORMATO.png;1;267;4;6;0.0;3.0;0.0;0.0;0
73620;Bruno Fabiano Alves;bruno-alves;Bruno Alves;https://s.glbimg.com/es/sde/f/2017/08/23/21ca677e7d6a57d1dfb2b66e74d782f4_FORMATO.png;1;276;3;6;12.2;11.16;7.16;12.2;1
98352;Bruno Guimarães Rodriguez Moura;bruno-guimaraes;Bruno Guimarães;https://s.glbimg.com/es/sde/f/2018/03/01/4f1a90d49f776be0832268cf3981570f_FORMATO.png;1;293;4;6;5.2;5.65;2.65;5.2;1
70944;Bruno Henrique Corsini;bruno-henrique;Bruno Henrique;https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg;1;275;4;7;1.9;7.51;-1.49;1.9;1
90285;Bruno Henrique Pinto;bruno-henrique;Bruno Henrique;https://s.glbimg.com/es/sde/f/2017/02/19/6fc23a37c23198ad6b9da39da99ad82b_FORMATO.png;1;277;5;6;0.0;18.0;0.0;0.0;0
88933;Bruno Jacinto da Silva;bruno-paulista;Bruno Paulista;https://s.glbimg.com/es/sde/f/2018/04/09/bf8fd16b5067244310ac33ce26ccdd03_FORMATO.png;1;267;4;6;0.0;4.0;0.0;0.0;0
71818;Bruno Medeiros Grassi;bruno-grassi;Bruno Grassi;https://s.glbimg.com/es/sde/f/2017/04/23/d503f996169e9aafe30487a9921bed97_FORMATO.png;1;284;1;6;0.0;4.0;0.0;0.0;0
101716;Bruno Roberto Pereira da Silva;bruno-roberto;Bruno Roberto;https://s.glbimg.com/es/sde/f/2018/03/20/25f1df89aba2974c70965460a0d6a42e_FORMATO.png;1;282;4;6;0.0;1.0;0.0;0.0;0
42499;Bruno Vieira do Nascimento;bruno;Bruno;https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png;1;276;2;6;0.0;4.0;0.0;0.0;0
