ID; Nome; Apelido; RB; FC; GC; CA; CV; SG; DD; DP; GS; FS; PE; A; FT; FD; FF; G; I; PP
99021;Riuler de Oliveira Faustino;Riuler;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99440;Gabriel Baralhas;Baralhas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99425;Felipe Souza Moreno Sampaio;Felipe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99460;Caio Alan Tem Catem Gonçalves;Caio;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98595;Juan Matheus Alano Nascimento;Juan Alano;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0
36540;Juan Silveira dos Santos;Juan;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
98593;Ronald Sant'anna Rodrigues;Ronald;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98765;José Marcos Costa Martins;Marquinhos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98706;Pedro Victor Delmino da Silva;Pedrinho;6.0;13.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;14.0;34.0;0.0;0.0;6.0;6.0;0.0;2.0;0.0
99424;Éder Gabriel Militão;Éder Militão;18.0;14.0;0.0;4.0;0.0;4.0;0.0;0.0;0.0;8.0;18.0;0.0;0.0;2.0;6.0;1.0;0.0;0.0
98832;Jean Pyerre Casagrande Silveira Correa;Jean Pyerre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98874;Marcelo dos Santos Rosa;Marcelo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99535;Vinicius José Paixão de Oliveira Junior;Vinicius Junior;12.0;8.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;21.0;33.0;3.0;0.0;9.0;6.0;4.0;1.0;0.0
99461;Daniel dos Santos Oliveira;Daniel ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99545;Linik Eduardo Santos;Linik;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99588;Paulo Vitor Fernandes Pereira;Paulo Vitor;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99574;Robson Azevedo da Silva;Robinho;4.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;9.0;1.0;1.0;1.0;4.0;0.0;1.0;0.0
99595;Patrick William Sá de Oliveira;Patrick;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99629;Jadson Ailton Oliveira Da Silva Vale;Jadson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99583;João Carlos Cardoso Santo;João Carlos;1.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0
99670;Arthur Henrique Vieira Araujo;Arthur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99628;Ezequiel Gonzalo Esperon;Esperon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99615;Bruno Cosendey Lobo Pinto;Bruno Cosendey;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;13.0;1.0;0.0;2.0;2.0;1.0;0.0;0.0
99818;Paulo Henrique Sampaio Filho ;Paulinho;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99832;Leonardo da Silva Simas;Leonardo Simas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99878;Leonardo Da Silva Passos;Léo Passos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99903;Lucas da Silva Ribeiro Campos;Lucas Campos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99789;Brenner Souza da Silva;Brenner;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0
99881;Ricardo Queiroz de Alencastro Graça;Ricardo;4.0;5.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;2.0;9.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
99894;José Francisco dos Santos Júnior;Júnior Brumado;4.0;12.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;5.0;0.0;0.0;1.0;6.0;1.0;5.0;0.0
99918;Patrick Machado Ferreira ;Patrick;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99915;Ezequiel Santos da Silva;Ezequiel;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
100084;Igor Silveira Gomes;Igor Gomes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100126;Kleber Augusto Caetano Leite Filho;Kleber;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100127;Pablo Carneiro Freitas;Pablo Maldini;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100158;Lucas Soares de Almeida;Lucas Soares;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100125;Matheus Soares Thuler;Thuler;9.0;2.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
100159;Vander Tavares Silva;Vander;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
99921;Khevin Rodrigo Fraga;Khevin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100065;Lincoln Corrêa dos Santos;Lincoln;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
